Time,Lat,Lon,Alt,Roll,Pitch,Yaw
1741113050.5230129,-35.3659454,149.1651315,683.31,-0.053707387298345566,-0.017665643244981766,-0.06894294172525406
1741113050.6233058,-35.3658964,149.1651266,683.27,-0.04608649015426636,-0.014445829205214977,-0.07186024636030197
1741113050.7235923,-35.3658964,149.1651266,683.27,-0.04608649015426636,-0.014445829205214977,-0.07186024636030197
1741113050.823762,-35.3658433,149.1651211,683.26,-0.039413101971149445,-0.010165883228182793,-0.07423587143421173
1741113050.92408,-35.3658433,149.1651211,683.26,-0.039413101971149445,-0.010165883228182793,-0.07423587143421173
1741113051.0243597,-35.3658433,149.1651211,683.26,-0.039413101971149445,-0.010165883228182793,-0.07423587143421173
1741113051.1245666,-35.3657941,149.1651159,683.26,-0.03454132750630379,-0.007139554712921381,-0.0757455974817276
1741113051.2248962,-35.3657941,149.1651159,683.26,-0.03454132750630379,-0.007139554712921381,-0.0757455974817276
1741113051.325096,-35.3657409,149.1651102,683.29,-0.03040410950779915,-0.005717117339372635,-0.07678696513175964
1741113051.4253743,-35.3657409,149.1651102,683.29,-0.03040410950779915,-0.005717117339372635,-0.07678696513175964
1741113051.5256648,-35.3657409,149.1651102,683.29,-0.03040410950779915,-0.005717117339372635,-0.07678696513175964
1741113051.6258192,-35.3656916,149.1651049,683.31,-0.02745208702981472,-0.005974407307803631,-0.07724051922559738
1741113051.7261293,-35.3656916,149.1651049,683.31,-0.02745208702981472,-0.005974407307803631,-0.07724051922559738
1741113051.8263776,-35.3656383,149.1650991,683.34,-0.025081656873226166,-0.0071112713776528835,-0.07744250446557999
1741113051.9266608,-35.3656383,149.1650991,683.34,-0.025081656873226166,-0.0071112713776528835,-0.07744250446557999
1741113052.0269408,-35.3656383,149.1650991,683.34,-0.025081656873226166,-0.0071112713776528835,-0.07744250446557999
1741113052.127229,-35.365589,149.1650938,683.36,-0.02364286035299301,-0.008028309792280197,-0.07739806175231934
1741113052.2275083,-35.365589,149.1650938,683.36,-0.02364286035299301,-0.008028309792280197,-0.07739806175231934
1741113052.3277116,-35.3655356,149.165088,683.38,-0.022777825593948364,-0.008197648450732231,-0.07731024920940399
1741113052.427936,-35.3655356,149.165088,683.38,-0.022777825593948364,-0.008197648450732231,-0.07731024920940399
1741113052.5280724,-35.3655356,149.165088,683.38,-0.022777825593948364,-0.008197648450732231,-0.07731024920940399
1741113052.6283135,-35.3654862,149.1650827,683.4,-0.022530563175678253,-0.007532141171395779,-0.0771346315741539
1741113052.7285407,-35.3654862,149.1650827,683.4,-0.022530563175678253,-0.007532141171395779,-0.0771346315741539
1741113052.8287034,-35.3654327,149.165077,683.42,-0.022670118138194084,-0.006386791355907917,-0.07680407911539078
1741113052.9289293,-35.3654327,149.165077,683.42,-0.022670118138194084,-0.006386791355907917,-0.07680407911539078
1741113053.029117,-35.3654327,149.165077,683.42,-0.022670118138194084,-0.006386791355907917,-0.07680407911539078
1741113053.1293519,-35.3653833,149.1650717,683.44,-0.022868094965815544,-0.005543138831853867,-0.07656316459178925
1741113053.2296758,-35.3653833,149.1650717,683.44,-0.022868094965815544,-0.005543138831853867,-0.07656316459178925
1741113053.329897,-35.3653298,149.165066,683.47,-0.02351224794983864,-0.005071683321148157,-0.07643640786409378
1741113053.4300752,-35.3653298,149.165066,683.47,-0.02351224794983864,-0.005071683321148157,-0.07643640786409378
1741113053.5301998,-35.3653298,149.165066,683.47,-0.02351224794983864,-0.005071683321148157,-0.07643640786409378
1741113053.6304262,-35.3652803,149.1650607,683.5,-0.024331316351890564,-0.00491813849657774,-0.07631407678127289
1741113053.7306173,-35.3652803,149.1650607,683.5,-0.024331316351890564,-0.00491813849657774,-0.07631407678127289
1741113053.8307612,-35.3652267,149.165055,683.53,-0.024868976324796677,-0.005122463218867779,-0.07630231231451035
1741113053.9309049,-35.3652267,149.165055,683.53,-0.024868976324796677,-0.005122463218867779,-0.07630231231451035
1741113054.0310266,-35.3652267,149.165055,683.53,-0.02527894638478756,-0.005507360212504864,-0.07632627338171005
1741113054.1312363,-35.3651773,149.1650497,683.57,-0.02527894638478756,-0.005507360212504864,-0.07632627338171005
1741113054.2314227,-35.3651773,149.1650497,683.57,-0.02527894638478756,-0.005507360212504864,-0.07632627338171005
1741113054.3315704,-35.3651237,149.165044,683.6,-0.025697927922010422,-0.006207359489053488,-0.07625547051429749
